Symbol	Date	EMA10T7	EMA10T6	EMA10T5	EMA10T4	EMA10T3	EMA10T2	EMA10T1	EMA10T0	EMA20T7	EMA20T6	EMA20T5	EMA20T4	EMA20T3	EMA20T2	EMA20T1	EMA20T0
REPX	21.07.2021	29,3008896193	28,0316369058	27,0931576210	26,2125835081	25,2012046191	24,2391673878	23,4829551216	23,0569631704	33,8537080635	32,7552596475	31,8138064276	30,9029677202	29,9264945677	28,9725426896	28,1256338547	27,4603353342
GRX	21.07.2021	13,5136888290	13,5184726713	13,4914776194	13,4584817649	13,4333032067	13,3745207430	13,3536988314	13,3439354422	13,4675024268	13,4744069539	13,4644634236	13,4497526613	13,4373952359	13,4062147046	13,3922895164	13,3835000568
CORR	21.07.2021	6,2627365325	6,2004208132	6,1330715605	6,1034221478	6,0191635512	5,9029520172	5,8624152556	5,8583397823	6,3930137854	6,3479648607	6,2986348667	6,2673362880	6,2075899621	6,1287718814	6,0860316859	6,0626001113
SVAC	21.07.2021	10,0417016078	10,0359377208	10,0221308694	10,0090161312	9,9982858908	9,9931430501	9,9871170480	9,9858229560	10,0307348775	10,0287601491	10,0222115671	10,0153342568	10,0091119285	10,0053870083	10,0010644397	9,9990582590
CLPR	21.07.2021	7,6904363955	7,7758115686	7,8365730391	7,9026506337	7,9567141202	7,9700387770	8,0354862582	8,1017614147	7,6783204764	7,7241947022	7,7609380312	7,8027534386	7,8405864263	7,8586257889	7,9035185636	7,9508024736
MWA	21.07.2021	14,6538060410	14,7149321738	14,7267626391	14,7582602717	14,7313037962	14,6510667354	14,6654181549	14,7098875535	14,4939171082	14,5411630761	14,5639094243	14,5959180143	14,5972591231	14,5679963458	14,5834252217	14,6145275670
IVR	21.07.2021	3,6533343675	3,6054554107	3,5553725949	3,5325775898	3,5066544107	3,4727172330	3,4776777361	3,4980999503	3,7445772624	3,7108080093	3,6745405726	3,6512510006	3,6263699629	3,5971918649	3,5879354968	3,5881321080
DLHC	21.07.2021	11,0278664540	10,9664361134	10,8834477707	10,8028208270	10,7295806073	10,7151113366	10,7450911144	10,7387109187	11,2780230870	11,2220208483	11,1542093607	11,0861893817	11,0208379756	10,9855200369	10,9754705204	10,9501876174
VSAT	21.07.2021	49,4780663248	49,4547812611	49,2957304556	49,1146884159	48,9192906885	48,7848742552	48,9458058759	49,3302050572	49,6733844173	49,6425857561	49,5413872870	49,4231598537	49,2914304310	49,1855799428	49,2317150120	49,4058375226
HCICU	21.07.2021	10,6353541184	10,6180169990	10,5974684746	10,5724742134	10,5502061399	10,5228958633	10,5041875384	10,4906989505	10,5758499922	10,5724357036	10,5660132665	10,5559167686	10,5458294391	10,5319408848	10,5212798554	10,5125865649
